,0,1
0,0.2441606486964666,Previous_Cesarian_Y
1,0.15934727050367836,#_of_Previous_Cesareans
2,0.1592223924509754,Previous_Cesarian_N
3,0.11816296664212336,Medical_Attendant
4,0.09979181351799708,NO_RISK
5,0.08846998549469065,Prior_Births_Living
6,0.027286212593811258,BMI
7,0.026282684304850763,Induction_of_labor_N
8,0.02303542340688848,Induction_of_labor_Y
9,0.016499116790305315,Age_of_Mother
10,0.015994453489083276,Pre_Pregnancy_Weight
11,0.009119926006243353,Weight_Gain
12,0.0070730698135807075,Mothers_Height_in_Inches
13,0.0018931612779710346,Prior_Terminations
14,0.0014038196118186998,Cigarette_Consumption
15,0.0012362633197416514,NO_MORBIDITY
16,0.0006960454173621337,Marital_Status_ 
17,0.00032474666241187215,Prior_Births_Dead
