,0,1
0,0.12789777456178467,Previous_Cesarian_Y
1,0.10782440186733001,#_of_Previous_Cesareans
2,0.10042117024477507,Previous_Cesarian_N
3,0.08987611469424607,Medical_Attendant
4,0.08514816950082728,Prior_Births_Living
5,0.07975099921716587,BMI
6,0.07091908352679087,Age_of_Mother
7,0.07053374076356965,Pre_Pregnancy_Weight
8,0.0689116994052035,Weight_Gain
9,0.0625795005238967,NO_RISK
10,0.04811317765996778,Mothers_Height_in_Inches
11,0.02074286758793921,Prior_Terminations
12,0.017975955625069824,Induction_of_labor_Y
13,0.017585291936710785,Induction_of_labor_N
14,0.015786523037416733,Cigarette_Consumption
15,0.007767607517838237,Marital_Status_ 
16,0.005444576516893625,NO_MORBIDITY
17,0.0027213458125740606,Prior_Births_Dead
